dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,ISC-EJPD,ESBK,GS-EJPD,BJ,fedpol,SIR,METAS,BFM
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,15.4,SW-Pflege und HW Wartung,4638487.23,,117720,,1782.4,6298,220703.57,25234
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,17,"DL, notwendig für  Bereitst., Betrieb, Unterhalt der Güter",1950.35,,,,1057942.26,,38651.82,119593.76
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,18,Dienstleistungen,25831430.8,133150.6,5123812.65,891598.74,7439070.93,193997.52,1029152.17,34548858.22
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,70846.35,52995.05,461435.74,4149276.21,118587.62,71585.2,4316536.1
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,25496207.94,5179.5,4324244.55,18403.2,2608927.65,,513635.15,9632162.42
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,18.3,Beratungs-DL für Management und Organisation sowie Coaching,335222.86,52289.1,735116.3,94951.72,618862.1,73219.9,305611.97,19908975.32
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,18.4,Informationsarbeit,,,9352.35,,,,88383.6,207185.44
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,18.5,Sprach- und Übersetzungsdienstleistungen,,4835.65,2104.4,316808.08,62004.97,2190,49936.25,483998.94
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,19,Zivile Bauten,8454.8,,,67094.6,68467.2,17337.18,263477.46,25573122.44
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,19.1,"Zivile Bauten, Honorare ohne weitere Bauleistungen",,,,,17754.2,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,19.2,"Zivile Bauten, Bauleistungen inkl.Honorare",,,,,3784.95,,259223.4,53900
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,19.4,"Zivile Bauten, Betrieb Immobilien",8454.8,,,67094.6,46928.05,17337.18,4254.06,25519222.44
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2012,0,Unknown,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",384126.76,56774.33,250140.07,333191.83,1638759.52,85097.62,792959.38,4609433.26
