dept,fullDept,2011,idSupplier,supplier,idCategory,fullCategory,BAFU,ARE,GS-UVEK,BAV,BAZL,BFE,ASTRA,BAKOM
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480945877,AWK Group AG,15.2,Software inkl. Lizenzen,,,,,,,1268226.99,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480945877,AWK Group AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,27410.4,,,,,,228177.1,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480945877,AWK Group AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,1465115.45,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480945877,AWK Group AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,2120031.16,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,481842552,ARGE Marti Technik/ACP c/o Marti Technik AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,5023339.25,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,481517063,Emch+Berger WSB AG Ingenieure,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,4899788.4,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,480263334,Gasser Felstechnik AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,4808593.87,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,481986727,Jauslin + Stebler Ingenieure AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,4547795,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,482165388,Techdata AG,15.2,Software inkl. Lizenzen,,,,,,,801805.25,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,482165388,Techdata AG,15.4,SW-Pflege und HW Wartung,,,,,,,81000,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,482165388,Techdata AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,1310459.5,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,482165388,Techdata AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,41271.3,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,482165388,Techdata AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,2241017.25,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,4867692350,Ferrari Ennio SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,15794.95,,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2011,4867692350,Ferrari Ennio SA,21.2,"Bauten Nationalstrassen, Bauleistungen inkl. Honorare",,,,,,,4350160.1,
