dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,ISC-EJPD,ESBK,GS-EJPD,BJ,fedpol,SIR,METAS,BFM
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481936743,EXANOVIS AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",217622.7,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488129313,Securitas SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,2770.2,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488129313,Securitas SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,7021.65
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488129313,Securitas SA,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,,5070951.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488129313,Securitas SA,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,71655.85
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488220237,Securitas AG Schweizerische Bewachungsgesellscha,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,,3737619.9
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488122904,Sunrise Communications AG,15.3,Telekommunikation,767.95,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488122904,Sunrise Communications AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,3238540,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488122904,Sunrise Communications AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,113.55,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488435900,Securitas AG Direktion St. Gallen,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,2199.6
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488435900,Securitas AG Direktion St. Gallen,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,,2839578.3
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480683648,Schweizerische Bundesbahnen SBB,6.1,"Transportdienstleistungen, Güter und Waren",54064.65,,,,634039.45,,,1638673.65
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,20847.6,,,24156.95,,78706.4,13977.7
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,16950.7,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,2119.2
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",480.35,1,32950.3,113958.45,328.5,6688.9,,9391.5
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,488131277,Manpower SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,2266715.7
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480014468,Swisscom (Schweiz) AG,15.2,Software inkl. Lizenzen,,,,,,,,52.35
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480014468,Swisscom (Schweiz) AG,15.3,Telekommunikation,4644,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480014468,Swisscom (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,2248624,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480014468,Swisscom (Schweiz) AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,4493.75,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,484075239,Wistar Informatik AG,15.2,Software inkl. Lizenzen,,,,,,,,602075.7
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,484075239,Wistar Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,68685.1,,,,,,,1415547.7
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,484075239,Wistar Informatik AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,42589.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480119457,Orange Communications SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,2031078,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487798936,Ascom Telematic AG,15.4,SW-Pflege und HW Wartung,1736813,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487798936,Ascom Telematic AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",270724,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480007871,Siemens Schweiz AG Building Technologies,15.1,Hardware,406510.6,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480007871,Siemens Schweiz AG Building Technologies,15.2,Software inkl. Lizenzen,379036.5,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480007871,Siemens Schweiz AG Building Technologies,15.4,SW-Pflege und HW Wartung,798410.64,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480007871,Siemens Schweiz AG Building Technologies,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,1404,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480007871,Siemens Schweiz AG Building Technologies,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,,2582.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480007871,Siemens Schweiz AG Building Technologies,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",383125.6,,,,1165.35,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,1,Nahrungsmittel und Getränke,,,,,,,,22498.15
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,41329.1,226.35,19549.25,382388.3,88924.3,,70698.05,1202027.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,2193.05,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482522427,Die Schweizerische Post Service Center Finanzen Mitte,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,73179.85,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480394183,Securitas SA,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,,1893371.3
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481519523,Softcom Technologies SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,1864852.25,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,483132937,abacon sicherheitsdienstleistungen,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,,1777565.25
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482201782,SV (Schweiz) AG,1,Nahrungsmittel und Getränke,,,,,,,,1638819.55
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482201782,SV (Schweiz) AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,,30616.6
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482201782,SV (Schweiz) AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,13627.1
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482201782,SV (Schweiz) AG,18.4,Informationsarbeit,,,,,,,,2987.15
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482201782,SV (Schweiz) AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,360,2722.7,3959.6,,,,4052.4
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,485443279,Awetec Informatik AG,15.2,Software inkl. Lizenzen,,,786600,,,,,81972.95
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,485443279,Awetec Informatik AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,394128.75,,,,,368991.9
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487884231,Securitas AG Schweizerische Bewachungsgesellscha,6.1,"Transportdienstleistungen, Güter und Waren",438.5,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487884231,Securitas AG Schweizerische Bewachungsgesellscha,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,463630.15,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487884231,Securitas AG Schweizerische Bewachungsgesellscha,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,121467.75,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487884231,Securitas AG Schweizerische Bewachungsgesellscha,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,,914900.9
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487884231,Securitas AG Schweizerische Bewachungsgesellscha,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,26552.4,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481156326,Xplain AG,15.2,Software inkl. Lizenzen,,,,,,,,119950
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481156326,Xplain AG,15.4,SW-Pflege und HW Wartung,,,,,436341.6,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481156326,Xplain AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,19725,,,,826849,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487313918,Securitas AG Schweizerische Bewachungsges.,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,,2370
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487313918,Securitas AG Schweizerische Bewachungsges.,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,8051.05,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487313918,Securitas AG Schweizerische Bewachungsges.,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,6724.45
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487313918,Securitas AG Schweizerische Bewachungsges.,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,2129.45,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487313918,Securitas AG Schweizerische Bewachungsges.,19.4,"Zivile Bauten, Betrieb Immobilien",,,,,,,,1296313.65
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,487313918,Securitas AG Schweizerische Bewachungsges.,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,300,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,485654482,Juraparc SA Vallorbe c/o Olivier Blanc,1,Nahrungsmittel und Getränke,,,,,,,,1297782.5
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,485654482,Juraparc SA Vallorbe c/o Olivier Blanc,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,420
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481780260,Hotel Bahnhof-Post,1,Nahrungsmittel und Getränke,,,,,,,,1227636.42
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481780260,Hotel Bahnhof-Post,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,,,,1175.1
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481780260,Hotel Bahnhof-Post,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,315
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481780260,Hotel Bahnhof-Post,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,315
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480302467,PricewaterhouseCoopers AG Wirtschaftsprüfung & Beratung,15.2,Software inkl. Lizenzen,,,1036325.11,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480302467,PricewaterhouseCoopers AG Wirtschaftsprüfung & Beratung,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,18360,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480302467,PricewaterhouseCoopers AG Wirtschaftsprüfung & Beratung,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",167852.42,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480936165,Global IT AG,15.1,Hardware,558293.65,,,,13916.15,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480936165,Global IT AG,15.2,Software inkl. Lizenzen,21949.05,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480936165,Global IT AG,15.4,SW-Pflege und HW Wartung,30236.75,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480936165,Global IT AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,1263.6,,,,55048.25,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480936165,Global IT AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",447152.35,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480652895,Hasware AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,1040559,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482073371,ACE Project Services AG,15.2,Software inkl. Lizenzen,,,,,,,,287199.95
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,482073371,ACE Project Services AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,735074.75
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480006329,Ascom (Schweiz) AG Security Communication,15.1,Hardware,,,,,7635.6,,,273196.05
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480006329,Ascom (Schweiz) AG Security Communication,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,657986.7
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480006329,Ascom (Schweiz) AG Security Communication,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,56253.2
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480287734,Swisscard AECS AG,6.1,"Transportdienstleistungen, Güter und Waren",,,,,4350.44,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480287734,Swisscard AECS AG,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",,,,,6682.14,,,39425.75
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480287734,Swisscard AECS AG,15.1,Hardware,,,,,,,349,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480287734,Swisscard AECS AG,15.2,Software inkl. Lizenzen,,,,,,,57.9,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480287734,Swisscard AECS AG,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,15878.3
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480287734,Swisscard AECS AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,1637.55,474.45,767814.75,10554.5,29630.05,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,483248357,Atos AG,15.1,Hardware,36826,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,483248357,Atos AG,15.4,SW-Pflege und HW Wartung,506197.9,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,483248357,Atos AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",312060,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,486356884,ACE information technology ag,15.2,Software inkl. Lizenzen,,,,,,,,118475
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,486356884,ACE information technology ag,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,628739.1
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,300282902,IBM Österreich GmbH,15.2,Software inkl. Lizenzen,,,730390.75,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,484644823,Copeda GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,722704.45,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481577455,WEBTEC Solutions GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,679938.3,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,480808141,Profilogic AG (UBS),18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,653750.7,,,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481311145,"Rexult AG Informatik, Unternehmensberatung",18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,45947.5,,59554.75,,,,,
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481311145,"Rexult AG Informatik, Unternehmensberatung",18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,154281.55,,,,,369362.35
EJPD,Eidgenössisches Justiz- und Polizeidepartement,2011,481143691,Link Marketing Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,625826.15
