dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,1005 EDA,1006 DEZA,1097 Informatik EDA
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480486310,Swisscontact,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,400192.42,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480405187,PricewaterhouseCoopers AG Wirtschaftsprüfung & Beratung,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,1098010.33,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,312686708,"Consortium GOPA, AVEDIS, EPOS and Internat. Bund represented",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,1090000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480683648,Schweizerische Bundesbahnen SBB,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",615249.21,319361.05,17529.15
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480683648,Schweizerische Bundesbahnen SBB,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,65176.65,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480683648,Schweizerische Bundesbahnen SBB,6.1,"Transportdienstleistungen, Güter und Waren",17560.6,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480683648,Schweizerische Bundesbahnen SBB,18.3,Beratungs-DL für Management und Organisation sowie Coaching,4279.64,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480683648,Schweizerische Bundesbahnen SBB,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",64.8,1893.05,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480683648,Schweizerische Bundesbahnen SBB,15.3,Telekommunikation,,,47.7
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482704595,Solar Impulse,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,1000000,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,318833399,"Consortium GFA Consulting Group GmbH, Swisscontact and",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,1000000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,480010516,KPT / CPT Hauptsitz,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,900123.2,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,400497301,Lux-Development S.A. Agence lux.pour la coop.et le dé,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,732000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,400497301,Lux-Development S.A. Agence lux.pour la coop.et le dé,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,99000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483368353,DHL Express (Schweiz) AG,14.1,Postdienste,699408.19,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483368353,DHL Express (Schweiz) AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",-2583.88,72041.55,220.65
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483368353,DHL Express (Schweiz) AG,6.1,"Transportdienstleistungen, Güter und Waren",42771.94,,275.15
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483368353,DHL Express (Schweiz) AG,14.2,Diplomatischer Kurier,-365.25,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,74810938,"Sheladia Associates, Inc.",18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,798000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483508672,G+U Job4You GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,707139.3
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483508672,G+U Job4You GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,62646.15,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483508672,G+U Job4You GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,11021.05,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483337221,Netwerch GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,690000,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483337221,Netwerch GmbH,6.2,"DL im Zusammenhang mit Personentransporten, Hotels, usw.",405,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,481838001,APP Unternehmensberatung AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,545868.4
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,481838001,APP Unternehmensberatung AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,105624,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482504016,Packimpex AG Int. Umzüge Verpackungen,6.1,"Transportdienstleistungen, Güter und Waren",529244.45,107562.9,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482504016,Packimpex AG Int. Umzüge Verpackungen,12.1,Büro- und Raumausstattung,,11272,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482504016,Packimpex AG Int. Umzüge Verpackungen,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,648,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,488025099,Strategos SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,560000,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,221041523,Verulam Associates Ltd,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,498950,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,481824147,RR-Consulting GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,432183.6,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,481824147,RR-Consulting GmbH,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,52628.4,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,488197112,Protectas S.A. Sicherheits- und Schutzdienste,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,456139.46,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,488172057,Kehrli & Oeler AG Internationale Transporte,6.1,"Transportdienstleistungen, Güter und Waren",388714.75,65355.15,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,488172057,Kehrli & Oeler AG Internationale Transporte,14.1,Postdienste,90,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,485925759,Alliance Sud,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,446995.4,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,483130055,Financial Systems Development Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,444974.19,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482894953,Federal Express Europe Inc.,6.1,"Transportdienstleistungen, Güter und Waren",420087.55,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482894953,Federal Express Europe Inc.,14.1,Postdienste,19056.15,233.25,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482894953,Federal Express Europe Inc.,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",2150.55,10318.05,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482894953,Federal Express Europe Inc.,14.2,Diplomatischer Kurier,-6986.1,,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,316909373,AFC Consultants International GmbH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,432940.47,
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482721862,POHN IT-Consulting GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,427944.35
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482312840,Microsoft Schweiz GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,415373.4
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482312840,Microsoft Schweiz GmbH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,7484.4
EDA,Eidgenössisches Departement für auswärtige Angelegenheiten,2013,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,243006.8,178075.85,
