idSupplier;supplier;supplierDetail
480791909;Burson-Marsteller;PR-Agentur
482582715;Business & Decision AG;
480745764;BUSINESS IT AG;
482272718;BUSINESS IT AG;
342619347;BW Management: Projekte + Training;
486838659;BWO Systems AG;
395397388;CA 17 INTERNATIONAL;
482493876;Calag Carrosserie Langenthal AG;
480279509;Calani Interim;
480910665;Canoo Engineering AG;
482169299;CASADA SA;
850513517;CCECC, China civil engineering construction corporation;
263622531;CEGELEC MOBILITY;
481213742;CGi Immobilier;
481700292;CHUV Hospitalier Universitaires VD CHUV;
481507882;Cirrus Consulting AG;EDV-Beratung
485562107;Colas Suisse SA;
480794049;Compass Group (Schweiz) SA;
480567093;comperio.ch AG;
481188167;Comsoft Direct AG;
483021528;connectis AG;
486605962;Consortium Dénériaz SA - Zengaffine ;p.a. Dénériaz SA
318833399;Consortium GFA Consulting Group GmbH;Swisscontact and ...
317380939;Consortium GOPA Consultants and ECO;
312686708;Consortium GOPA, AVEDIS, EPOS and Internat. Bund represented;
481935369;Consortium Perrin Frères SA;
480118392;Consortium U-ROM ;p/o Grisoni Zaugg SA
485894799;Consortium W78, Grisoni-Zaugg SA, JPF Constr. SA & Camandona;
481002129;Consortium WRZ A9 Murs 2013 ;p.a.André Repond SA
480928084;Consorzio Edilstrada SA + Spalu SA ;c/o Edilstrada SA
486769235;Consorzio Felce 101 ;c/o Ennio Ferrari SA
485466259;Consorzio Lotto 7p-21 ;c/o Officine Ghidoni SA
484574731;Consorzio Valascia tracciato ;c/o Edy Toscano SA
480057413;Consorzio Vigana ;c/o Mancini & Marti SA
484644823;Copeda GmbH;
485993091;cR Kommunikation;
480569508;Cremo SA;
486889426;CrispyChiliProductions GmbH;
480652494;Crypto AG;
486833973;CSC;
482808594;CSC;
488091026;CSC;
488940040;CSS Versicherung;
482837247;CURAVIVA;Verband Heime u. Instituti Schweiz
483183435;Dany Waldner AG;
481906613;Decker Consulting GmbH;
482653326;Dell SA;
480193374;Demoscope Research & Marketing;
315868729;Deutsche Gesellschaft für Technische Zusammenarbeit GmbH;
483368353;DHL Express;
480847557;Die Schweizerische Post;
482522427;Die Schweizerische Post;
480035893;Diso Solution AG;
537715778;Dorsch Internat. Consultants GmbH In Joint Venture with CBI;
329978469;EADS (Airbus Group);European Aeronautic Defence and Space company
333618259;EADS (Airbus Group);European Aeronautic Defence and Space company
480301576;ecmt GmbH;
480216030;econcept AG;
485486377;Ecoplan AG;
480928084;Edilstrada SA;pavimentazioni stradali
482761665;Edorex Informatik AG;
482791659;Edorex Informatik AG;
480018534;Effin'Art Sàrl;
484105635;ETH Zürich;
480232263;Elca Informatique SA;
484633693;Elefant Studios AG;
484679972;Elektro Burkhalter AG;Elektroinstallationen
600583389;ELTA Electronics Industr.;
480849421;Emch + Berger AG;
481517063;Emch + Berger AG;Ingenieure
483961541;Emmi;
483637224;Encore Pictures GmbH;
481918618;Energie Wasser Bern / Störungen;
480227487;Erne AG;Holzbau
486900335;Erni Consulting AG;
485983308;Ernst Basler + Partner AG;
730707593;Staat Norwegen;Etat de Norvège
485896828;ETH Zürich;Eidgenössische Technische Hochschule Zürich
481907673;ETH Zürich;Eidgenössische Technische Hochschule Zürich
480676931;EURAD AG;
482842585;Euresearch Verein Head Office;
728423943;European Dynamics;
481936743;EXANOVIS AG;
480822068;Fabasoft CH Software AG;
113680261;FACHVERBAND SUCHT;
480640866;Fasel IT Services GmbH;
482894953;FedEx;Federal Express Europe Inc.
481196111;FELA Planungs AG;
486769235;Ferrari Ennio SA;
480387372;FHS Frech-Hoch AG Carrosseriewerk;
483130055;Financial Systems Development Services AG;
484115741;Finanzverwaltung Aargau;
484121194;Finanzverwaltung Graubünden;
480475920;Fischer Otto AG;Elektrotechnische Artikel
480476258;Flughafen Zürich AG;
486170249;Fritz & Macziol (Schweiz) AG;IT-Dienstleister
484502732;Froriep Renggli;Anwaltskanzlei
480405380;Frutiger AG;
483627402;Frutiger AG;
487360646;FS Communications GmbH;Satellitenkommunikation
483508672;G+U Job4You;
480263334;Gasser Felstechnik AG;
480003177;Gebrüder Brun AG;
487976607;Generalplaner Areal Liebefeld  ;c/o Matti, Ragaz, Hitz Architekten
487349136;GEONEX;
483422945;Geotest AG;
480193184;Gfk Switzerland AG;
482687147;GFS.Bern Forsch.Politik Kommunikation+Gesellsch.;
482573941;GHR Global Human Resources AG;
487609695;Giauque Personal- und Organisationsentwicklung;
480421283;Glaux Soft AG;Systems Engineering
480936165;Global IT AG;
487718553;Glue Software Engineering AG;
487982324;Grisoni-Zaugg SA;
481911931;Gross Generalunternehmung AG;
480649862;H. Wellauer AG;Strassen- u. Tiefbauunternehmung
481648848;Hagedorn AG;Strassen- und Tiefbauunternehmung
480572189;HAMA Technics AG;
482683088;Hans + Martin Hasler AG;Bauunternehmung
480652895;Hasware AG;
480780782;Helvetas;
480056068;Hess AG Carrosserie;
483646233;Hinderling Volkart;
481177293;Hitachi Data Systems AG;
483156464;Hochdorf Swiss Milk AG;
484295670;CHUV ;Centre Hospitalier universitaire vaudois
483473187;Hotel Allegro Bern AG;
486043065;Hotel Bahnhof Post AG;
481780260;Hotel Bahnhof Post AG;
480307235;Huber Straub AG;
482857377;Iart Interactive AG;
480008192;IBM;
300282902;IBM;
482020240;IBSF Institut für Begleit- und Sozialforschung, Dr. Max Müll;
480930044;IfA Gesundheitsförderung AG;
480929280;IM Maggia Engineering SA;
483485207;Immobilienges. Ausserholligen AG ;c/o Fontana AG
484696500;Implenia;
484017889;Implenia;
484922427;Implenia;
481234156;Implenia;
487914293;Implenia;
329802826;INBAS GmbH;
483923806;Infocentric Research AG;
483627795;Infosignia GmbH;
482747909;Infoteam Informatique Technique SA;
480758879;Infras AG Forschung und Beratung;Forschung und Beratung
487975237;Ingenieurgemeinschaft 5B ;c/o B + S AG
487855835;Ingenieurgemeinschaft LoiP ;c/o Lombardi AG Beratende Ingenieur
480065564;Ingenieurgemeinschaft N08 EP IOB-BSA ;p.A. IUB Engineering AG
480162945;Innovation Process Technology AG;IT-Beratung
483432209;Interalp Bau AG;
480155261;Intercooperation;
481087984;Interface Politikstudien Forschung Beratung GmbH;
482340957;Interlabor Belp AG;
259055366;International Secretariat for Water ISW;
485479096;Inventare.ch GmbH;
481163603;IPS Innovative Produkte & Systeme A;
482249182;IQ Plus AG;
485129519;Ironforge GmbH Consulting;
480994557;ISS Facility Services AG;Gebäudeunterhalt und -reinigung
482930083;ISS Facility Services AG;Gebäudeunterhalt und -reinigung
486909807;ITech Consult AG;
488858598;Itelligence AG Unternehmensberatung;
481207269;ITpearls AG;
480726269;Itsystems AG;
315619072;Iveco-Magirus AG;
484376764;Jacobi Marianne;
298931585;Jankel Armouring Ltd. Hamm Court Farm;
481986727;Jauslin + Stebler Ingenieure AG;
483451902;Jeanmaire & Michel AG;
485430362;Jens Lundgaard-Hansen Wort für Wort AG;
482008609;JetSolutions SA;
485311211;JPF Construction SA;menuiserie-charpente
485654482;Juraparc SA;Vallorbe c/o Olivier Blanc
300613382;Kapsch TrafficCom AG;
485868983;Kästli Bau AG;
486123862;Keane Schweiz AG;
488172057;Kehrli & Oeler AG;Internationale Transporte
484335864;KEK - CDC AG;
481088086;Kelly Services (Suisse) SA;
485624506;Kersch Architektur + Verwaltungen;
481007339;Key Equipment Finance (Schweiz) AG;
481369825;Keystone;
484731026;Kiwi Consultants GmbH;
312681038;KME Germany AG & Co. KG;
562038349;Kongsberg Defence & Aerospace SA;
483886847;Konkursamt Bern-Mittelland;Dienststelle Bern
481726032;Konsortium Iteco / Intercooperation vertreten durch Iteco;
328437913;KPS;IT
537631389;KPS;
480010516;KPT / CPT;
482770088;Krieg, Schlupp, Bürge/ Springer & Jacoby Werbeagentur AG;
481159734;Kummer Public Affairs;
482832115;Die Schweizerische Post;
741779029;LAND EQUITY INTERNATIONAL;
480399625;Lanz & Marti AG Fahrzeugbau Carrosseriewerk;
480976575;Largeur.com SA;LargeNetwork
486620250;Leafit GmbH;
400550701;legitech;
481642341;Leonhard Weiss Bau AG;
480493014;LGV Impresa Construzione SA;Bauunternehmung
480130335;Linde Lansing Fördertechnik AG;
481143691;Link Marketing Services AG;
484927327;Liquidbit Software + IT Services;
481626476;Livit SA Real Estate Management;
482780012;Löwen Garage AG Bern;
400497301;Lux-Development S.A.;
482030918;mabuco GmbH;
480057413;Marti Gruppe;
488131277;Manpower SA;
484972658;Marti Gruppe;
480067800;Marti Gruppe;
480269000;Marti Gruppe;
483255626;Marti Gruppe;
316360049;Martin Christ Gefriertrocknungsanlagen GmbH;
486256063;Matti Ragaz Hitz Architekten AG;
480088343;Max Zimmermann AG;ZKD Möbelfabrik Büromöbel
480628601;Mercedes-Benz Schweiz AG;
300636193;METADAT GmbH;
480498104;Meteolabor AG;
989276399;Microsoft;
482312840;Microsoft;
483437211;MicroStrategy Schweiz AG;
480760078;mimacom ag;EDV-Dienstleistungen
480328939;Minerva Manuf. de Chaussures SA;
481363729;MIS Trend SA;
487688160;MLG Metall und Planung AG;
480672716;Mosimann Holzbau AG;
480213412;Mowag GmbH;
481286305;MS Schmid Management;
486307119;MTF Thörishaus AG;EDV-Produkte
376011354;MultiCorpora International Inc.;
488286444;Mundi Consulting AG Postfach;
480749985;Murotex AG;Büro- & EDV-Verbrauchsmaterial
482705535;National Coalition Building Institute Schweiz;
483337221;Netwerch GmbH;
480957302;Nexplore AG;
485613595;NextSoft GmbH;
486346398;NH Hoteles Switzerland GmbH;
480600142;nhs informatik gmbh;
483948647;nicer National Institute for Cancer Epidemiology and Registr;
312335412;Niras A/S;
488547563;Nitrochemie Wimmis AG;
485553015;Notch Interactive GmbH;
480640705;Notter Armin AG Konstruktionswerkstätte;
487696056;NOVA ENERGIE GMBH;
482494747;Novartis;
480697783;Novo Business Consultants AG;
484588715;NSNW AG;
480272871;Nüssli AG;
480199694;Nüssli AG;
733909030;OECD;
484927012;Officium Consultancy GmbH;
480384648;Oracle Software;
481996064;Oracle Software;
480119457;Orange Communications SA;
480754246;Orell Füssli Sicherheitsdruck AG;
557735960;Oriental Construction Company Ltd.;
487858045;Ors Service AG;
482777500;OS Objectif Sécurité SA;
486323863;OSEARA GmbH;
482504016;Packimpex AG;Int. Umzüge Verpackungen
370246570;Pamiga Finance S.A. Compartment B;
481173391;Park Hotels Waldhaus AG;
487835035;Pensionskasse Novartis;
480802409;Pentag Informatik AG;
481390052;Pfäffli H.R. AG Techn. Lederwaren;
488363672;PG EB St. Gallen c/o Ernst Basler + Partner AG;
481020550;Pilatus Aircraft Ltd.;
486508146;PLANVAL, Oekonomie-Oekologie- Raumplanung AG;
480008622;Pneu Egger AG;
482721862;POHN IT-Consulting GmbH;
631042954;Poongsan Corporation;
481977148;Porr Suisse AG;Bauunternehmung
481229529;Pozzi Elisabetta traduzioni;
482919198;PraderLosinger SA;
480405187;PricewaterhouseCoopers AG;Wirtschaftsprüfung & Beratung
480302467;PricewaterhouseCoopers AG;
480808141;Profilogic AG;
482062994;Proplaning AG;
480934694;Prosegur SA;
481051121;prospective media services pms AG;HR-Dienstleistungen
488197112;Protectas;
482891348;Protectas;
480071380;Proviande;
481429983;PSA Finance Suisse SA;
482973315;PSP Group Services AG;
485596209;PublicisLive;
480832203;Publisuisse SA;
480849392;Puzzle ITC GmbH;
481935369;Quadri Robert SA;entreprise de construction
482468738;Quatico Solutions AG;
354635682;Ramboll Natura AB;
480687024;Randstad (Schweiz) AG;
480613780;RealStuff Informatik AG;
508619434;Recipharm AB (publ);
485003086;Resource AG;
481311145;Rexult AG;Informatik, Unternehmensberatung
315871020;Rheinmetall;
343993916;Rheinmetall;
333622715;Rheinmetall;
482376753;Robert Mutzner AG;
484005108;Rod Kommunikation AG;
507435241;Roland Berger Strategy Consultants;
480070192;Roschi Rohde & Schwarz AG;Elektronische Messtechnik
480008804;Rothpletz, Lienhard+Cie AG;
484556527;Marti Gruppe;
481824147;RR-Consulting GmbH;
482386989;RUAG;
480411870;RUAG;
480284384;RUAG;
480412043;RUAG;
480412035;RUAG;
480413686;RUAG Real Estate AG;
485582589;RUAG;
480339324;Rusconi M. Cie SA;
483483855;RWM Schweiz AG;
480301886;S. Facchinetti SA;
483923962;Saab Bofors Dynamics Schweiz AG;
481833460;Saltech AG;
481666931;SAP;
480248355;saracus consulting;
262301314;Sàrl JPW Advisory James Weaver;
480371447;Sarmap SA;
331181529;SAXONIA EuroCoin GmbH;
481853559;Scheuring Project Management AG;
332610646;Schuberth GmbH;
485630771;Schwank Earthpartner AG;
487610412;Schweiz. AGRO-Treuhänder Verband c/o Agro-Treuhand;
481189269;SBB Cargo;
481426823;SDA / ATS;Schweiz. Depeschenagentur AG
480683648;SBB / CFF;
488979121;Schweizerische Flüchtlingshilfe;
486234347;Schweizerische Gesundheits- stiftung RADIX;
481749117;Schweizerische Teletext AG;Swiss TXT
485714864;Schweizerisches Rotes Kreuz Kanton Bern;
482427916;SCIH Schweizerisches Tropeninstitut;
481595911;SE-CURE AG;
488435900;Securitas;
484812094;Securitas;
484740204;Securitas;
487313918;Securitas;
487884231;Securitas;
488220237;Securitas;
480394183;Securitas;
488129313;Securitas;
488830951;Securitas;
537708422;Seitenbau GmbH;
317802882;Selex Sistemi Integrati GmbH;
74810938;Sheladia Associates, Inc.;
485584648;Siemens;
488048257;Siemens;
480007871;Siemens;
480083732;Signal AG;
409622081;Simavi;
486579894;Sitasys AG;
480301808;Skat Consulting;
481991560;Skyguide;
482004975;Socom;
481519523;Softcom Technologies SA;
485177331;Softtec AG;
482783446;SoftwareONE AG;
482704595;Solar Impulse;
480752112;Solexperts AG;
415806459;SolidSource BV;
487375479;Solutionpark AG;
480954726;Sorane SA;Société deRationalisation de l'Energie
481843717;Spillmann / Felser / Leo Burnett AG;Werbeagentur
480580922;SRG SSR idée suisse;
483052309;STANDING OVATION GMBH Forum der Schweiz. Aussen;
482540945;Steiner & Buschor;Ingenieure und Planer AG
482566312;Steiner Karl AG;Generalunternehmung
489662783;Stichting Trimbos-Instit., Instit. of Mental Health and Addi ;
480849491;Stiftung Praktischer Umweltschutz Schweiz Pusch;
488213885;Stoupa & Partners AG Beratungsgesellschaft Betriebswi;
480515378;STRABAG AG;
482898082;Strategic Knowledge Group GmbH;
488025099;Strategos SA;
482461691;Sucht Info Schweiz;
483557190;Suisselab AG;
483021528;Sunrise;
488122904;Sunrise;
482201782;SV (Schweiz) AG;
480157291;SW-Eng Software Engineering GmbH;
482134587;swenex - swiss energy exchange Ltd;
405100871;Swets Information Services B.V.;
300292240;Swietelsky Baugesellschaft;
481114986;Die Schweizerische Post;
480287734;Swisscard AECS AG;
480014468;Swisscom;
481660400;Swisscom;
480594998;Swisscom;
487375479;Swisscom;
481607575;Swisscom;
488978024;Swisscom;
480486310;Swisscontact;
480796713;Swisscontact;
482582715;Sybor AG;
480779271;TC TEAM CONSULT SA;
484005819;TeamWork Schweiz AG;Informatik-Dienstleistungen
482165388;Techdata AG;
482204232;Technopark Luzern;
480719038;TECTON Spezialbau AG Gewässerschutz;
483936535;Teradata (Schweiz) GmbH;
484701461;Terra Consult Grossmann René;
480024384;Thales-Amper-Rheinmetall-Consortium (TARC);
49973027;Thales-Raytheon Systems Company LLC ;Command & Control System
483981960;The Boston Consulting Group AG (Switzerland);
483628645;think beyond GmbH;
480634620;Tierverkehrsdatenbank AG Indentitas AG;
485286566;Topten International Services GmbH;
367107781;Toyota;Gibraltar Stockholdings Ltd PO Box 176
487620064;Triestram und Partner AG;
417526274;Triodos Facet;
484457734;Trivadis;
486945715;Trivadis;
480009158;Trüb AG;
480256135;TSM Treuhand GmbH;
481698967;TWI AG Technisch-Wissenschaftliche Informatik;
484572792;Ubit Schweiz AG;
480707330;UBS Card Center AG;
486206340;UD Print AG;
482084667;Unikat Kommunikationsagentur;
480041532;Uniplan Switzerland AG;
340347405;Unique forestry consultants;
480007855;Unisys;
481250900;Universal-Job AG;
432091913;Universita di Bologna;
482515538;Universität Basel;Institut für Medienwissenschaften
488909037;Universität Bern;
483791526;Universität Zürich;
484592105;Universität Zürich;
482752065;Universität Zürich;
483353053;Université de Fribourg;
481076537;Université de Genève;
482392628;Université de Lausanne;
0;Unknown;
221041523;Verulam Associates Ltd;
480907146;Victorinox AG;
480311596;VOGT AG Oberdiessbach;
487096708;Walo Bertschinger AG;
480977776;Walo Bertschinger AG;
342504138;Wash United gGmbh;
481577455;WEBTEC Solutions GmbH;
480073519;Weibel Hans AG;Bauunternehmung
485765205;Wilhelm Kaderselektion AG Bern;
480422034;Wincasa AG;Immobilien-Dienstleistungen
301090783;Wintersteiger AG;
482340312;Wirz Werbung AG(ZKB);
484075239;Wistar Informatik AG;
480321330;Xerox AG;
485246297;Ximpulse GmbH;
481156326;Xplain AG;
483223603;Xtreme Consulting GmbH;
485388701;Yioo Communications AG;
481215320;Zeix AG;
483409827;Zenklusen Bau AG ;Hoch + Tiefbauunternehmung
480396477;Züblin-Strabag AG;Bauunternehmung
481453483;Zugang für Alle, Schweizerische Stiftung zur;
